lat,lon,ppt
7.492328,-74.868139,0.0
6.059778,-75.792333,7.366
5.596583,-75.813861,9.144
5.655417,-75.882556,0.762
5.790806,-75.842722,2.032
6.5375,-75.089356,0.0
7.109611,-75.553583,16.764000000000003
5.663675,-75.718194,5.08
6.049303,-75.906461,3.302
6.907583,-75.672306,9.652000000000001
5.800361,-75.924194,13.208
6.400195,-74.747727,0.0
8.096536,-74.774978,0.0
6.187606,-74.61628,0.0
5.849889,-76.022917,14.986
6.882222,-75.340056,7.874
7.076972,-75.142278,19.05
7.580683,-75.400611,5.841999999999999
5.700583,-75.966472,20.32
5.874694,-75.568361,6.35
6.968,-75.415361,0.0
6.206861,-75.733639,7.620000000000001
6.416961,-75.997911,5.334
5.551106,-75.644006,11.938
5.611086,-75.629453,16.764
6.567922,-75.520964,0.0
6.303581,-75.857964,10.16
6.112794,-75.990589,3.302
6.378344,-75.439234,0.254
6.852722,-75.820472,1.524
7.011506,-75.691389,0.0
6.167361,-75.579911,6.604
6.486153,-75.395039,0.508
6.978667,-75.301639,1.016
6.479014,-75.638442,2.286
6.717892,-75.909778,0.254
6.444133,-75.726747,0.254
6.630556,-75.816139,0.0
7.03587,-73.946381,0.0
7.592075,-74.791447,0.0
5.9275,-75.672231,26.162
6.605789,-75.667314,2.794
6.816658,-75.239819,8.636
5.792769,-75.789567,4.318
6.498961,-74.448554,0.0
7.080978,-74.700575,0.0
5.967639,-75.983083,114.554
6.676806,-75.748583,3.302
6.771556,-74.798389,0.0
6.513111,-75.709361,0.762
6.352167,-75.507278,0.254
7.166361,-75.766111,31.750000000000004
6.553639,-74.7875,4.064
6.689847,-74.831631,0.0
6.913778,-75.079806,30.226000000000003
6.121978,-75.711787,11.684000000000001
6.161667,-75.775806,18.034
6.152472,-75.600139,6.604
6.027778,-75.705389,12.7
6.137972,-75.63975,7.112
6.848639,-75.68825,0.0
6.343237,-75.561611,1.016
6.431056,-75.325722,8.382
6.091889,-75.634694,13.207999999999998
6.723903,-75.294114,8.382
5.945167,-75.525861,12.954
6.1955139,-75.619011,0.508
6.669083,-75.216611,1.016
6.267217,-75.640756,4.572
6.599389,-75.013861,0.0
6.134892,-75.531692,0.0
6.165095,-75.494832,4.318
6.4685,-75.3814722,1.016
6.4174722,-75.6724444,1.27
6.5361944,-75.7020278,0.254
7.79575,-75.0711944,0.0
7.7636944,-74.7205278,0.0
6.326944,-75.768889,2.54
5.6199167,-75.9431389,9.398
5.7695833,-75.7368889,11.176
6.2500381,-75.5830642,2.032
5.9113333,-75.6594167,24.637999999999998
7.0639444,-75.6859722,5.8420000000000005
5.5945556,-75.8404722,10.921999999999997
