lat,lon
7.492328,-74.868139
5.855444,-75.826167
6.059778,-75.792333
5.596583,-75.813861
5.655417,-75.882556
5.790806,-75.842722
6.5375,-75.089356
7.109611,-75.553583
5.663675,-75.718194
6.049303,-75.906461
6.907583,-75.672306
5.800361,-75.924194
6.400195,-74.747727
6.495086,-75.910008
8.096536,-74.774978
6.187606,-74.61628
5.849889,-76.022917
6.882222,-75.340056
7.577472,-75.343772
7.989083,-75.197442
7.076972,-75.142278
7.580683,-75.400611
5.700583,-75.966472
5.874694,-75.568361
6.968,-75.415361
7.140361,-75.460611
6.206861,-75.733639
6.416961,-75.997911
5.551106,-75.644006
5.611086,-75.629453
6.567922,-75.520964
6.303581,-75.857964
6.112794,-75.990589
6.378344,-75.439234
6.852722,-75.820472
7.011506,-75.691389
6.167361,-75.579911
6.486153,-75.395039
6.978667,-75.301639
6.479014,-75.638442
6.717892,-75.909778
6.444133,-75.726747
6.630556,-75.816139
5.963,-75.734444
7.03587,-73.946381
7.592075,-74.791447
5.9275,-75.672231
6.605789,-75.667314
6.816658,-75.239819
5.792769,-75.789567
6.498961,-74.448554
7.080978,-74.700575
5.967639,-75.983083
6.676806,-75.748583
6.771556,-74.798389
6.513111,-75.709361
5.741083,-75.607
6.352167,-75.507278
7.166361,-75.766111
6.553639,-74.7875
6.689847,-74.831631
6.913778,-75.079806
6.121978,-75.711787
6.161667,-75.775806
6.152472,-75.600139
6.027778,-75.705389
6.137972,-75.63975
6.848639,-75.68825
6.343237,-75.561611
6.431056,-75.325722
7.027819,-74.69585
6.091889,-75.634694
6.723903,-75.294114
5.945167,-75.525861
6.1955139,-75.619011
6.669083,-75.216611
6.267217,-75.640756
6.599389,-75.013861
6.134892,-75.531692
6.165095,-75.494832
6.4685,-75.3814722
6.4174722,-75.6724444
6.5361944,-75.7020278
7.7651389,-75.2639722
8.0568611,-74.8776667
7.79575,-75.0711944
7.7636944,-74.7205278
6.326944,-75.768889
5.6199167,-75.9431389
5.7695833,-75.7368889
6.2500381,-75.5830642
6.0463889,-74.5870556
6.9518633,-73.9581702
5.9113333,-75.6594167
6.8422778,-75.2176667
7.0639444,-75.6859722
5.5945556,-75.8404722
