,codigo,tipo,municipio,territorial,nss,fuente,altitud,latitud,longitud,ubicacion,database,table,codigo_ideam,categoria_ideam,emails
0,1,Pluviógrafo,Zaragoza,Panzenú,Río Tigui - NSS,Quebrada Juan Vara,85,7.4923280,-74.8681390,Edificio de la Alcaldía,precipitacion,p_1,,,[]
1,2,Pluviógrafo,Hispania,Citará,Río San Juan - SZH (md),Río Pedregal,1062,5.8003610,-75.9241940,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_2,,,[]
2,3,Pluviógrafo,Betania,Citará,Río San Juan - SZH (md),Río Taparto,1577,5.7005830,-75.9664720,"Escuela, Corregimiento Tapartó",precipitacion,p_3,,,[]
3,4,Pluviógrafo,Betulia,Citará,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Quebrada Quebradona,1748,6.1127940,-75.9905890,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_4,,,[]
4,5,Pluviógrafo,Venecia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La Tigra,1331,5.9630000,-75.7344440,Edificio de la Alcaldía,mauricioTesting,p_5_rain,,,[]
5,6,Pluviógrafo,Vegachí,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Quebrada La Gallinera,992,6.7715560,-74.7983890,Edificio de la Alcaldía,precipitacion,p_6,,,[]
6,7,Pluviógrafo,Amagá,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La Maní,1607,6.0277780,-75.7053890,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_7_rain,,,[]
7,8,Pluviógrafo,Medellín,Aburrá Norte,Río Aburrá - NSS,Quebrada San Francisca,2159,6.2672170,-75.6407560,Planta de Tratamiento de Agua Potable - PTAP - La Acuarela - Vereda La Palma,mauricioTesting,p_8_rain,,,"['josegomez1084@gmail.com', 'patricia.palacio@udea.edu.co']"
8,9,Pluviógrafo,Ebéjico,Hevéxicos,Directos Río Cauca (md) - Río Aurra - NSS,Quebrada La Juan Ramos,1183,6.3269440,-75.7688890,Edificio de la Alcaldía,mauricioTesting,p_9_rain,,,[]
9,10,Pluviógrafo,Tarso,Cartama,Río Frío y Otros Directos al Cauca - NSS,Quebrada La Cristalina,1500,5.8554440,-75.8261670,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_10,,,[]
10,11,Pluviógrafo,Titiribí,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada Las Juntas,1607,6.0597780,-75.7923330,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_11_rain,,,[]
11,12,Pluviógrafo,Jardín,Citará,Río San Juan - SZH (md),Río Claro - Parte Alta,1828,5.5965830,-75.8138610,Institucion Educativa San Antonio,precipitacion,p_12,,,[]
12,13,Pluviógrafo,Andes,Citará,Río San Juan - SZH (md),Quebrada la Chaparrala,1388,5.6554170,-75.8825560,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_13,,,"['bomberosdeandes1@gmail.com', 'lfloreo@hotmail.com', 'alcaldia@andes-antioquia.gov.co']"
13,14,Pluviógrafo,Pueblorrico,Cartama,Río Frío y Otros Directos al Cauca - NSS,Quebrada La Berrío,1809,5.7908060,-75.8427220,Estación de Bomberos - Cabecera Municipal,precipitacion,p_14,,,[]
14,15,Pluviógrafo,Cisneros,Zenufaná,Río Nus - NSS,Q. Chapolal - Q.El Caney,1050,6.5375000,-75.0893560,Estacion de Policia - Cabecera Municipal,precipitacion,p_15,,,[]
15,16,Pluviógrafo,Briceño,Tahamíes,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada El Respaldo,1327,7.1096110,-75.5535830,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_16,,,['areizadiana18@gmail.com']
16,17,Pluviógrafo,Támesis,Cartama,Río Frío y Otros Directos al Cauca - NSS,Quebrada San Antonio,1667,5.6636750,-75.7181940,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_17,,,[]
17,18,Pluviógrafo,Concordia,Citará,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Quebrada Magallo - Parte alta,2091,6.0493030,-75.9064610,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_18,,,[]
18,19,Pluviógrafo,San Andrés de Cuerquia,Tahamíes,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada Piedecuesta,1656,6.9075830,-75.6723060,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_19_rain,,,['planeacion@sanandresdecuerquia-antioquia.gov.co']
19,20,Pluviógrafo,Caracolí,Zenufaná,Río Nus - NSS,Quebrada La Reina,625,6.4001950,-74.7477270,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_20,,,[]
20,21,Pluviógrafo,Santa Fé de Antioquia,Hevéxicos,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Quebrada El Pescado,1632,6.4950860,-75.9100080,Centro Educativo Rural - Corregimiento El Pescado,precipitacion,p_21,,,[]
21,22,Pluviógrafo,Nechí,Panzenú,Río Bajo San Jorge - NSS,Quebrada del Pescado,51,8.0965360,-74.7749780,Edificio de la Alcaldía,precipitacion,p_22,,,[]
22,23,Pluviógrafo,Puerto Berrío,Zenufaná,Río Cocorná y directos Magdalena Medio entre ríos La Miel y Nare (mi) - NSS,Corriente San Pablo,1607,6.1876060,-74.6162800,Edificio de la Alcaldía,precipitacion,p_23,,,[]
23,24,Pluviógrafo,Ciudad Bolívar,Citará,Río San Juan - SZH (md),Río Bolivar - Parte Alta,1300,5.8498890,-76.0229170,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_24,,,[]
24,25,Pluviógrafo,Angostura,Tahamíes,Alto Nechí - NSS,Quebrada La Hedionda,1842,6.8822220,-75.3400560,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_25,,,[]
25,26,Pluviógrafo,Cáceres,Panzenú,Directos al Cauca entre Pto Valdivia y Río Nechí (md),Caños Tacuyarea,135,7.5774720,-75.3437720,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_26,,,[]
26,27,Pluviógrafo,Caucasia,Panzenú,Río Bajo San Jorge - NSS,Canos Atascoso El Silencio,65,7.9890830,-75.1974420,Edificio de la Alcaldía,precipitacion,p_27,,,[]
27,28,Pluviógrafo,Anorí,Tahamíes,Alto Nechí - NSS,Río Anori,1529,7.0769720,-75.1422780,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_28,,,[]
28,29,Pluviógrafo,Tarazá,Panzenú,Río Taraza y otros directos al Cauca (md) - NSS,Quebrada Pozo Hondo,124,7.5806830,-75.4006110,Edificio de la Alcaldía,precipitacion,p_29,,,[]
29,30,Pluviógrafo,Santa Bárbara,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La Arcadia - Quebrada La Maquina,1832,5.8746940,-75.5683610,Casa de la Cultura - Cabecera Municipal,precipitacion,p_30,,,[]
30,31,Pluviógrafo,Yarumal,Tahamíes,Alto Nechí - NSS,Quebrada Yarumalito,2383,6.9680000,-75.4153610,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_31_rain,,,[]
31,32,Pluviógrafo,Santa Rosa de Osos,Tahamíes,Rio Grande - Chico - NSS,Quebrada La Chorrera,2235,6.5637500,-75.3345620,Escuela Corregimiento San Isidro,precipitacion,p_32,,,"['jackcarlos2015@gmail.com', 'imoar@hotmail.com']"
32,33,Pluviógrafo,Valdivia,Panzenú,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada Valdivia Cabecera Municipal,1313,7.1403610,-75.4606110,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_33,,,[]
33,34,Pluviógrafo,Heliconia,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La Sucia - Parte Alta y Media,1430,6.2068610,-75.7336390,Edificio de la Alcaldía,mauricioTesting,p_34_rain,,,[]
34,35,Pluviógrafo,Caicedo,Hevéxicos,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Quebrada Asesí,2013,6.4169610,-75.9979110,Planta de Tratamiento de Agua Potable - PTAP - Cuenca Asesí,precipitacion,p_35,,,[]
35,36,Pluviógrafo,Caramanta,Cartama,Río Frío y Otros Directos al Cauca - NSS,Quebrada El Molino,2131,5.5511060,-75.6440060,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_36,,,[]
36,37,Pluviógrafo,Valparaíso,Cartama,Río Frío y Otros Directos al Cauca - NSS,Quebrada Palmichala,1425,5.6110860,-75.6294530,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_37,,,[]
37,38,Pluviógrafo,Entrerríos,Tahamíes,Rio Grande - Chico - NSS,Quebrada La Torura,2313,6.5679220,-75.5209640,Planta de Tratamiento de Agua Potable - PTAP ,precipitacion,p_38,,,[]
38,39,Pluviógrafo,Anzá,Hevéxicos,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Quebrada Niverengo,767,6.3035810,-75.8579640,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_39,,,['jbarteagav@hotmail.com']
39,40,Pluviógrafo,Girardota,Aburrá Norte,Río Aburrá - NSS,Quebrada La Mata De Los Ortega,1832,6.3783440,-75.4392340,Planta de Tratamiento de Agua Potable - PTAP - Vereda San Esteban,mauricioTesting,p_40_rain,,,[]
40,41,Pluviógrafo,Sabanalarga,Hevéxicos,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada El Junquito - Quebrada San Pedro,8787,6.8527220,-75.8204720,Estacion de Policia - Cabecera Municipal,precipitacion,p_41,,,[]
41,42,Pluviógrafo,Toledo,Tahamíes,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada Matanza,1832,7.0115060,-75.6913890,Edificio de la Alcaldía,mauricioTesting,p_42_rain,,,[]
42,43,Pluviógrafo,Envigado,Aburrá Sur,Río Aburrá - NSS,Quebrada La Sebastiana,1590,6.1673610,-75.5799110,Hospital Manuel Uribe Ángel - Parque Ecologico,mauricioTesting,p_43_rain,,,[]
43,44,Pluviógrafo,Donmatías,Tahamíes,Rio Grande - Chico - NSS,Quebrada Donmatías - Parte alta y media,2158,6.4861530,-75.3950390,Edificio de la Alcaldía,precipitacion,p_44,,,[]
44,45,Pluviógrafo,Campamento,Tahamíes,Alto Nechí - NSS,Quebrada El Ariazo,1746,6.9786670,-75.3016390,Institucion Educativa Nuestra Senora del Rosario - Cabecera Municipal,precipitacion,p_45,,,['joaquin.garcia@cafeterosdecolombia.org']
45,46,Pluviógrafo,San Pedro de Los Milagros,Tahamíes,Directos Río Cauca (md) - Río Aurra - NSS,Quebrada La Sucia,2652,6.4790140,-75.6384420,Planta de Tratamiento de Agua Potable - PTAP - Acueducto Espiritu Santo - Pantanillo,precipitacion,p_46,,,"['nelysierra01@yahoo.es', 'luisfer29082008@hotmail.com', 'cifuentes1979@hotmail.com', 'rcorreap@unal.edu.co', 'bomberosanpredro2010@hotmail.com']"
46,47,Pluviógrafo,Buriticá,Hevéxicos,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Quebrada Remangos,1739,6.7178920,-75.9097780,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_47,,,[]
47,48,Pluviógrafo,San Jerónimo,Hevéxicos,Directos Río Cauca (md) - Río Aurra - NSS,Quebrada La Muñoz,749,6.4441330,-75.7267470,PTAP San Jeronimo - Cabecera Municipal,mauricioTesting,p_48_rain,,,[]
48,49,Pluviógrafo,Olaya,Hevéxicos,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Quebrada La Barbuda,520,6.6305560,-75.8161390,Edificio de la Alcaldía,precipitacion,p_49,,,[]
49,50,Pluviógrafo,Yondó,Zenufaná,Río Cimitarra y otros directos al Magdalena - NSS,Caño las Cruces,75,7.0358700,-73.9463810,Edificio de la Alcaldía,mauricioTesting,p_50_rain,,,[]
50,51,Pluviógrafo,El Bagre,Panzenú,Río Amacerí - NSS,Quebrada Villa Parte Baja,122,7.5920750,-74.7914470,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_51,,,[]
51,52,Pluviógrafo,Fredonia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Poblanco - Parte Alta,1843,5.9275000,-75.6722310,Edificio de la Alcaldía,precipitacion,p_52,,,"['desarrollorural@fredonia-antioquia.gov.co', 'victor.velez81@gmail.com', 'clopad@fredonia-antioquia.gov.co']"
52,53,Pluviógrafo,Belmira,Tahamíes,Rio Grande - Chico - NSS,Quebrada Quebradona,2515,6.6057890,-75.6673140,Edificio de la Alcaldía,precipitacion,p_53,,,[]
53,54,Pluviógrafo,Guadalupe,Tahamíes,Río Guadalupe y Medio Porce - NSS,Quebrada Los Chorros,1926,6.8166580,-75.2398190,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_54_rain,,,['Hectorlyon777@yahoo.es']
54,55,Pluviógrafo,Jericó,Cartama,Río Frío y Otros Directos al Cauca - NSS,Quebrada Elvira - El Sacatín,2037,5.7927690,-75.7895670,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_55,,,['instrumentacionpiragua@udea.edu.co']
55,56,Pluviógrafo,Puerto Berrío,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Quebrada Malena,125,6.4989610,-74.4485540,Sede Universidad de Antioquia,precipitacion,p_56,,,[]
56,57,Pluviógrafo,Segovia,Zenufaná,Río Tigui - NSS,Quebrada Cianurada,702,7.0809780,-74.7005750,Edificio de la Alcaldía,precipitacion,p_57,,,[]
57,58,Pluviógrafo,Salgar,Citará,Río San Juan - SZH (md),Río Barroso - Parte Alta,1377,5.9676390,-75.9830830,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_58,,,[]
58,59,Pluviógrafo,Liborina,Hevéxicos,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada La Porquera,503,6.6768060,-75.7485830,Escuela Carmen de la Venta,precipitacion,p_59,,,[]
59,60,Pluviógrafo,Sopetrán,Hevéxicos,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada Sopetrana,1478,6.5131110,-75.7093610,Caseta Acción Comunal Vereda Guayabal,precipitacion,p_60,,,[]
60,61,Pluviógrafo,La Pintada,Cartama,Río Frío y Otros Directos al Cauca - NSS,Quebrada Arremangos,616,5.7410830,-75.6070000,Edificio de la Alcaldía,precipitacion,p_61,,,[]
61,62,Pluviógrafo,Copacabana,Aburrá Norte,Río Aburrá - NSS,Quebrada El Chuscal,1889,6.3521670,-75.5072780,Planta de Tratamiento de Agua Potable - PTAP - Vereda La Chuscala,precipitacion,p_62,,,[]
62,63,Pluviógrafo,Ituango,Tahamíes,Río Ituango - Directos Río Cauca (mi) - NSS,Quebrada Los Naranjos,1730,7.1663610,-75.7661110,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_63,,,[]
63,64,Pluviógrafo,Maceo,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Quebrada Betulia - Dolores,994,6.5536390,-74.7875000,Edificio de la Alcaldía,mauricioTesting,p_64_rain,,,[]
64,65,Pluviógrafo,Yalí,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Quebrada La Union - Quebrada San Nicolas,1774,6.6898470,-74.8316310,Edificio de la Alcaldía,mauricioTesting,p_65_rain,,,[]
65,66,Pluviógrafo,Amalfi,Zenufaná,Río Bajo Porce - NSS,Quebrada La Montañita,1566,6.9137780,-75.0798060,Planta de Tratamiento de Aguas Residuales - PTAR,mauricioTesting,p_66_rain,,,['bomberosamalfi1@gmail.com']
